domain,effective_domain,rank,connectivity_status,has_ipv4,has_ipv6,resolvable_via_ipv6_dns,ns_ipv6_support,ns_servers,ns_servers_with_ipv6,ipv4_addresses,ipv6_addresses,error_message
ipv6.github.io,ipv6.github.io,21,dual_stack,True,True,False,False,,,185.199.111.153; 185.199.109.153; 185.199.110.153; 185.199.108.153,2606:50c0:8003::153; 2606:50c0:8001::153; 2606:50c0:8000::153; 2606:50c0:8002::153,
ipv6.facebook.com,ipv6.facebook.com,19,no_connectivity,False,False,False,False,,,,,
ipv6.act-on.be,ipv6.act-on.be,25,no_connectivity,False,False,False,False,,,,,
ipv6.google.com,ipv6.google.com,3,ipv6_only,False,True,False,False,,,,2404:6800:4006:80a::200e,
www.v6.facebook.com,www.v6.facebook.com,20,ipv6_only,False,True,False,False,,,,2a03:2880:f119:8083:face:b00c:0:25de,
go6.net,go6.net,26,dual_stack,True,True,False,True,bryce.ns.cloudflare.com; paloma.ns.cloudflare.com,bryce.ns.cloudflare.com; paloma.ns.cloudflare.com,172.67.188.16; 104.21.7.219,2606:4700:3033::6815:7db; 2606:4700:3032::ac43:bc10,
ipv6.microsoft.com,www.ipv6.microsoft.com,22,dual_stack,True,True,False,False,,,131.107.152.134,2002:836b:9820::836b:9886,
ipv6.getmyip.com,ipv6.getmyip.com,12,dual_stack,True,True,False,False,,,0.0.0.0,2a00:e68:0:b::dead:dead,
ipv6-speedtest.net,ipv6-speedtest.net,11,ipv4_only,True,False,False,False,ns2.parkingcrew.net; ns1.parkingcrew.net,,185.53.177.52,,
ipv6now.com.au,ipv6now.com.au,24,ipv4_only,True,False,False,True,nsa.myownserver.net; nsb.myownserver.net; nsc.myownserver.net,nsb.myownserver.net; nsc.myownserver.net,118.88.27.52,,
ipv6.intel.com,ipv6.intel.com,18,no_connectivity,False,False,False,False,,,,,
whatismyv6.com,whatismyv6.com,6,dual_stack,True,True,False,True,ns-cloud-d3.googledomains.com; ns-cloud-d4.googledomains.com; ns-cloud-d1.googledomains.com; ns-cloud-d2.googledomains.com,ns-cloud-d3.googledomains.com; ns-cloud-d4.googledomains.com; ns-cloud-d1.googledomains.com; ns-cloud-d2.googledomains.com,34.160.111.145,2600:1901:0:b2bd::,
ipv6.test-ipv6.com,ipv6.test-ipv6.com,15,ipv6_only,False,True,False,False,,,,2400:8907::f03c:94ff:fed0:3fc3,
ipv6.he.net,ipv6.he.net,7,dual_stack,True,True,False,True,ns3.he.net; ns1.he.net; ns5.he.net; ns2.he.net; ns4.he.net,ns3.he.net; ns1.he.net; ns5.he.net; ns2.he.net; ns4.he.net,66.220.2.75,2001:470:0:64::2,
tunnelbroker.net,tunnelbroker.net,27,dual_stack,True,True,False,True,ns2.he.net; ns4.he.net; ns1.he.net; ns3.he.net; ns5.he.net,ns2.he.net; ns4.he.net; ns1.he.net; ns3.he.net; ns5.he.net,64.62.200.2,2001:470:0:63::2,
ds.test-ipv6.com,ds.test-ipv6.com,16,dual_stack,True,True,False,False,,,45.79.238.217,2400:8907::f03c:94ff:fed0:3fc3,
ipv4.test-ipv6.com,ipv4.test-ipv6.com,14,ipv4_only,True,False,False,False,,,45.79.238.217,,
ipv6.com,ipv6.com,23,dual_stack,True,True,False,False,ns2.mgtinternet.com; ns1.mgtinternet.com; ns3.mgtinternet.com,,198.178.249.201,2602:fa20:1:40::201,
test-ipv6.com,test-ipv6.com,1,ipv4_only,True,False,False,True,osa.test-ipv6.com; lax.test-ipv6.com; ams.test-ipv6.com,osa.test-ipv6.com; lax.test-ipv6.com; ams.test-ipv6.com,45.79.238.217,,
kame.net,www.kame.net,17,dual_stack,True,True,False,False,,,210.155.141.200,2001:2f0:0:8800:226:2dff:fe0b:4311; 2001:2f0:0:8800::1:1,
test-ipv6.cz,test-ipv6.cz,4,ipv4_only,True,False,False,True,sld2.ns.nic.cz; sld3.ns.nic.cz; sld1.ns.nic.cz,sld2.ns.nic.cz; sld3.ns.nic.cz; sld1.ns.nic.cz,217.31.204.129,,
loopsofzen.uk,loopsofzen.uk,8,ipv6_only,False,True,False,True,primary-dns.uk; secondary-dns.uk,primary-dns.uk; secondary-dns.uk,,2001:8b0:0:30::666:102,
test-ipv6.net,test-ipv6.net,5,dual_stack,True,True,False,True,ns052.auroradns.nl; ns053.auroradns.info; ns051.auroradns.eu,ns052.auroradns.nl; ns053.auroradns.info; ns051.auroradns.eu,185.103.156.60,2a05:1500:101:4::60,
ipv6.ch,ipv6.ch,10,dual_stack,True,True,False,True,ns2.init7.net; ns1.init7.net,ns2.init7.net; ns1.init7.net,77.109.180.4,2001:1620:1700:1101::4,
ipv4.rip,ipv4.rip,13,ipv6_only,False,True,False,True,ns.interlan.se; ns3.interlan.se,ns.interlan.se; ns3.interlan.se,,2a07:1c80:102:193:100::10,
ipv6.is,ipv6.is,9,dual_stack,True,True,False,True,local.routing.is; f.bitur.is,local.routing.is; f.bitur.is,79.171.98.69,2a02:3c8:0:1018::69,
ipv6-test.com,ipv6-test.com,2,dual_stack,True,True,False,True,ns1.he.net; ns1.t0x.net; ns6.gandi.net; ns3.he.net; ns5.he.net; ns2.t0x.net; ns2.he.net; ns0.t0x.net; ns4.he.net; ns3.t0x.net,ns1.he.net; ns1.t0x.net; ns6.gandi.net; ns3.he.net; ns5.he.net; ns2.t0x.net; ns2.he.net; ns0.t0x.net; ns4.he.net,51.75.78.103,2001:41d0:701:1100::29c8,
